Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Prices
3311095,Sailboat,Sea Ray,New,2004,11.35,5.49,Steel,Chennai,17,459146
3611781,Sailboat,Yamaha,New,2024,29.72,4.89,Steel,Kochi,150,877609
4174877,Sailboat,Jeanneau,Used,1990,15.22,9.58,Aluminum,Visakhapatnam,435,3903807
3940148,Fishing Boat,Yamaha,New,2019,32.44,4.37,Steel,Kochi,201,460983
88418,Motorboat,Bayliner,New,1996,32.21,4.35,Steel,Kochi,229,3528377
1511699,Fishing Boat,Boston Whaler,New,2006,49.98,4.96,Aluminum,Kochi,243,2654656
3645744,Jet Ski,Yamaha,New,2018,13.42,4.97,Steel,Visakhapatnam,487,1886585
2267782,Jet Ski,Yamaha,Used,1994,44.18,3.11,Fiberglass,Kochi,15,1645706
4392910,Fishing Boat,Sea Ray,Used,2021,37.94,5.58,Wood,Goa,101,3098670
3239812,Yacht,Boston Whaler,Used,2010,34.3,8.4,Wood,Goa,197,4427717
822151,Fishing Boat,Yamaha,Used,2004,7.51,9.11,Aluminum,Mumbai,75,4783236
1642495,Motorboat,Beneteau,New,1995,44.22,8.87,Steel,Chennai,412,4152273
2247059,Sailboat,Sea Ray,New,2009,36.07,7.8,Fiberglass,Mumbai,295,1806037
283630,Motorboat,Sea Ray,Used,1990,45.09,2.09,Wood,Kochi,306,3736752
219514,Fishing Boat,Beneteau,Used,2016,38.25,3.33,Steel,Chennai,168,2562044
902171,Motorboat,Beneteau,New,2005,30.4,2.28,Wood,Mumbai,424,369048
4168222,Motorboat,Bayliner,Used,2009,47.87,7.13,Fiberglass,Chennai,330,1887758
973013,Sailboat,Beneteau,Used,2020,37.56,6.39,Wood,Chennai,198,2605985
1833413,Yacht,Boston Whaler,New,2009,41.05,5.5,Aluminum,Goa,55,3757612
4995965,Yacht,Boston Whaler,New,2000,47.79,2.12,Steel,Kochi,57,2107426
2459066,Sailboat,Jeanneau,New,2019,23.17,5.59,Aluminum,Mumbai,71,2296877
1671339,Sailboat,Sea Ray,Used,1991,41.08,8.3,Wood,Chennai,229,222362
1537558,Jet Ski,Beneteau,Used,2013,39.56,6.08,Steel,Visakhapatnam,339,152908
595053,Sailboat,Yamaha,Used,2009,29.46,2.42,Steel,Chennai,176,2590541
2423599,Fishing Boat,Sea Ray,New,1995,26.72,5.74,Aluminum,Kochi,480,4075165
4686715,Fishing Boat,Boston Whaler,New,2020,42.73,7.96,Steel,Visakhapatnam,431,3352567
